Date,AUD,CAD,EUR,GBP,USD
02/20/21,1,0.9911,0.6475,0.5601,0.786
02/19/21,1,0.9911,0.6475,0.5601,0.786
02/18/21,1,0.9864,0.6444,0.5577,0.7787
02/17/21,1,0.9827,0.6421,0.5584,0.7744
02/16/21,1,0.9841,0.6405,0.5594,0.7777
02/15/21,1,0.9836,0.6409,0.5591,0.7774
02/14/21,1,0.9842,0.6383,0.5601,0.7729
02/13/21,1,0.9842,0.6383,0.5601,0.7729
02/12/21,1,0.9842,0.6383,0.5601,0.7729
02/11/21,1,0.9838,0.6395,0.5612,0.7768
02/10/21,1,0.9816,0.6377,0.5589,0.7733
02/09/21,1,0.983,0.6377,0.5601,0.7719
02/08/21,1,0.979,0.6372,0.5597,0.7663
02/07/21,1,0.9735,0.6345,0.5554,0.7603
02/06/21,1,0.9735,0.6345,0.5554,0.7603
02/05/21,1,0.9735,0.6345,0.5554,0.7603
02/04/21,1,0.9765,0.6358,0.5576,0.7628
02/03/21,1,0.9741,0.6337,0.5586,0.7615
02/02/21,1,0.9732,0.631,0.5558,0.76
02/01/21,1,0.9774,0.6317,0.5571,0.7633
01/31/21,1,0.9811,0.6322,0.5587,0.7672
01/30/21,1,0.9811,0.6322,0.5587,0.7672
01/29/21,1,0.9811,0.6322,0.5587,0.7672
01/28/21,1,0.978,0.6284,0.5568,0.7598
01/27/21,1,0.9815,0.6352,0.5615,0.7694
01/26/21,1,0.9831,0.6366,0.5646,0.773
01/25/21,1,0.9829,0.6358,0.5646,0.7726
01/24/21,1,0.9802,0.6341,0.5646,0.771
01/23/21,1,0.9802,0.6341,0.5646,0.771
01/22/21,1,0.9802,0.6341,0.5646,0.771
01/21/21,1,0.9815,0.6396,0.5668,0.7776
01/20/21,1,0.9817,0.6383,0.5653,0.7724
01/19/21,1,0.9819,0.636,0.5667,0.7716
01/18/21,1,0.9804,0.6361,0.5666,0.7674
01/17/21,1,0.983,0.6378,0.5676,0.7732
01/16/21,1,0.983,0.6378,0.5676,0.7732
01/15/21,1,0.983,0.6378,0.5676,0.7732
01/14/21,1,0.9833,0.6393,0.5686,0.7751
01/13/21,1,0.9843,0.6356,0.5655,0.7732
01/12/21,1,0.9853,0.6352,0.5682,0.7725
01/11/21,1,0.9853,0.6336,0.5717,0.7706
01/10/21,1,0.9864,0.6346,0.572,0.7774
01/09/21,1,0.9864,0.6346,0.572,0.7774
01/08/21,1,0.9864,0.6346,0.572,0.7774
01/07/21,1,0.9852,0.6315,0.5695,0.7752
01/06/21,1,0.9884,0.632,0.5728,0.7797
01/05/21,1,0.9827,0.6279,0.5672,0.7705
01/04/21,1,0.9807,0.6278,0.566,0.772
01/03/21,1,0.9835,0.6291,0.5656,0.772
01/02/21,1,0.9835,0.6291,0.5656,0.772
01/01/21,1,0.9835,0.6291,0.5656,0.772
12/31/20,1,0.9835,0.6291,0.5656,0.772
12/30/20,1,0.9798,0.624,0.5635,0.7664
12/29/20,1,0.9747,0.6203,0.5636,0.7604
12/28/20,1,0.9748,0.6218,0.5621,0.7597
12/27/20,1,0.9761,0.6235,0.5599,0.7602
12/26/20,1,0.9761,0.6235,0.5599,0.7602
12/25/20,1,0.9761,0.6235,0.5599,0.7602
12/24/20,1,0.9761,0.6235,0.5599,0.7602
12/23/20,1,0.9723,0.6204,0.5627,0.7548
12/22/20,1,0.9729,0.6176,0.563,0.7559
12/21/20,1,0.9683,0.6173,0.5655,0.7514
12/20/20,1,0.9709,0.6208,0.5639,0.7611
12/19/20,1,0.9709,0.6208,0.5639,0.7611
12/18/20,1,0.9709,0.6208,0.5639,0.7611
12/17/20,1,0.9685,0.623,0.561,0.7629
12/16/20,1,0.9657,0.621,0.5586,0.7569
12/15/20,1,0.9603,0.6206,0.5635,0.7534
12/14/20,1,0.9634,0.6225,0.5646,0.7571
12/13/20,1,0.9625,0.6215,0.5736,0.7537
12/12/20,1,0.9625,0.6215,0.5736,0.7537
12/11/20,1,0.9625,0.6215,0.5736,0.7537
12/10/20,1,0.9564,0.6188,0.5637,0.7496
12/09/20,1,0.9559,0.6179,0.5561,0.7482
12/08/20,1,0.9494,0.6122,0.558,0.7416
12/07/20,1,0.9489,0.6107,0.5571,0.7407
12/06/20,1,0.954,0.6102,0.5509,0.742
12/05/20,1,0.954,0.6102,0.5509,0.742
12/04/20,1,0.954,0.6102,0.5509,0.742
12/03/20,1,0.9591,0.6112,0.5523,0.7427
12/02/20,1,0.9533,0.6104,0.5523,0.7365
12/01/20,1,0.9538,0.6145,0.5518,0.7354
11/30/20,1,0.9551,0.6155,0.553,0.7374
11/29/20,1,0.9577,0.618,0.5527,0.7367
11/28/20,1,0.9577,0.618,0.5527,0.7367
11/27/20,1,0.9577,0.618,0.5527,0.7367
11/26/20,1,0.9572,0.6187,0.5514,0.7362
11/25/20,1,0.956,0.6177,0.5505,0.7344
11/24/20,1,0.9585,0.6182,0.5503,0.7335
11/23/20,1,0.9567,0.616,0.5476,0.7331
11/22/20,1,0.9542,0.6163,0.5509,0.7311
11/21/20,1,0.9542,0.6163,0.5509,0.7311
11/20/20,1,0.9542,0.6163,0.5509,0.7311
11/19/20,1,0.9526,0.6146,0.5493,0.7271
11/18/20,1,0.9561,0.6163,0.5508,0.7314
11/17/20,1,0.9584,0.6159,0.5518,0.7318
11/16/20,1,0.9538,0.6163,0.5535,0.7291
11/15/20,1,0.9526,0.6135,0.5502,0.7248
11/14/20,1,0.9526,0.6135,0.5502,0.7248
11/13/20,1,0.9526,0.6135,0.5502,0.7248
11/12/20,1,0.9496,0.6149,0.552,0.725
11/11/20,1,0.95,0.6184,0.5499,0.7276
11/10/20,1,0.948,0.6159,0.5493,0.7272
11/09/20,1,0.9479,0.616,0.5558,0.732
11/08/20,1,0.949,0.6113,0.5528,0.7256
11/07/20,1,0.949,0.6113,0.5528,0.7256
11/06/20,1,0.949,0.6113,0.5528,0.7256
11/05/20,1,0.9463,0.6114,0.553,0.7248
11/04/20,1,0.9428,0.6118,0.5503,0.7171
11/03/20,1,0.9378,0.6095,0.5488,0.7133
11/02/20,1,0.9355,0.6049,0.5447,0.7048
11/01/20,1,0.9392,0.6038,0.5446,0.7063
10/31/20,1,0.9392,0.6038,0.5446,0.7063
10/30/20,1,0.9392,0.6038,0.5446,0.7063
10/29/20,1,0.9391,0.5998,0.5424,0.702
10/28/20,1,0.9383,0.6023,0.5461,0.7063
10/27/20,1,0.9399,0.603,0.547,0.7134
10/26/20,1,0.939,0.6027,0.547,0.7123
10/25/20,1,0.9388,0.6032,0.547,0.7152
10/24/20,1,0.9388,0.6032,0.547,0.7152
10/23/20,1,0.9388,0.6032,0.547,0.7152
10/22/20,1,0.9348,0.6008,0.5424,0.7102
10/21/20,1,0.9297,0.5976,0.5424,0.7083
10/20/20,1,0.9271,0.5952,0.5436,0.7029
10/19/20,1,0.9365,0.6033,0.5465,0.711
10/18/20,1,0.9361,0.604,0.5492,0.7092
10/17/20,1,0.9361,0.604,0.5492,0.7092
10/16/20,1,0.9361,0.604,0.5492,0.7092
10/15/20,1,0.9335,0.6041,0.5469,0.7067
10/14/20,1,0.9422,0.6106,0.5519,0.7174
10/13/20,1,0.9419,0.6096,0.5523,0.7186
10/12/20,1,0.9472,0.6114,0.5539,0.7213
10/11/20,1,0.9474,0.6096,0.5557,0.719
10/10/20,1,0.9474,0.6096,0.5557,0.719
10/09/20,1,0.9474,0.6096,0.5557,0.719
10/08/20,1,0.949,0.609,0.5544,0.7165
10/07/20,1,0.9479,0.6061,0.554,0.7133
10/06/20,1,0.9489,0.6071,0.5528,0.7161
10/05/20,1,0.9533,0.6105,0.5544,0.7185
10/04/20,1,0.953,0.6108,0.5538,0.7165
10/03/20,1,0.953,0.6108,0.5538,0.7165
10/02/20,1,0.953,0.6108,0.5538,0.7165
10/01/20,1,0.9569,0.6128,0.5559,0.7201
09/30/20,1,0.9536,0.6083,0.555,0.7123
09/29/20,1,0.9539,0.6093,0.5542,0.713
09/28/20,1,0.9459,0.6056,0.5481,0.7067
09/27/20,1,0.9403,0.6043,0.552,0.703
09/26/20,1,0.9403,0.6043,0.552,0.703
09/25/20,1,0.9403,0.6043,0.552,0.703
09/24/20,1,0.9432,0.6046,0.5516,0.7041
09/23/20,1,0.9486,0.6083,0.5589,0.7112
09/22/20,1,0.9597,0.6139,0.5633,0.7208
09/21/20,1,0.9608,0.6158,0.5641,0.7258
09/20/20,1,0.9605,0.6157,0.5622,0.7285
09/19/20,1,0.9605,0.6157,0.5622,0.7285
09/18/20,1,0.9605,0.6157,0.5622,0.7285
09/17/20,1,0.9638,0.6191,0.5667,0.7304
09/16/20,1,0.9662,0.6183,0.5652,0.7338
09/15/20,1,0.9639,0.6166,0.5678,0.7332
09/14/20,1,0.958,0.6125,0.5646,0.7274
09/13/20,1,0.9617,0.6156,0.5689,0.7297
09/12/20,1,0.9617,0.6156,0.5689,0.7297
09/11/20,1,0.9617,0.6156,0.5689,0.7297
09/10/20,1,0.9573,0.6142,0.5625,0.7277
09/09/20,1,0.9569,0.6149,0.5608,0.7239
09/08/20,1,0.9531,0.614,0.5554,0.7236
09/07/20,1,0.9539,0.6161,0.5534,0.7284
09/06/20,1,0.9519,0.6138,0.5483,0.7269
09/05/20,1,0.9519,0.6138,0.5483,0.7269
09/04/20,1,0.9519,0.6138,0.5483,0.7269
09/03/20,1,0.9551,0.6166,0.5496,0.7283
09/02/20,1,0.9582,0.6184,0.5494,0.7335
09/01/20,1,0.9605,0.6157,0.5478,0.738
