Date,CAD,AUD,EUR,GBP,USD
02/20/21,1,1.009,0.6533,0.5652,0.793
02/19/21,1,1.009,0.6533,0.5652,0.793
02/18/21,1,1.0138,0.6533,0.5654,0.7894
02/17/21,1,1.0176,0.6534,0.5682,0.788
02/16/21,1,1.0161,0.6508,0.5684,0.7903
02/15/21,1,1.0167,0.6516,0.5684,0.7904
02/14/21,1,1.0161,0.6486,0.5692,0.7853
02/13/21,1,1.0161,0.6486,0.5692,0.7853
02/12/21,1,1.0161,0.6486,0.5692,0.7853
02/11/21,1,1.0165,0.65,0.5704,0.7896
02/10/21,1,1.0187,0.6496,0.5694,0.7878
02/09/21,1,1.0173,0.6488,0.5698,0.7853
02/08/21,1,1.0215,0.6509,0.5717,0.7827
02/07/21,1,1.0272,0.6517,0.5705,0.781
02/06/21,1,1.0272,0.6517,0.5705,0.781
02/05/21,1,1.0272,0.6517,0.5705,0.781
02/04/21,1,1.024,0.6511,0.571,0.7811
02/03/21,1,1.0265,0.6505,0.5734,0.7817
02/02/21,1,1.0276,0.6484,0.5711,0.781
02/01/21,1,1.0231,0.6462,0.57,0.7809
01/31/21,1,1.0193,0.6443,0.5695,0.782
01/30/21,1,1.0193,0.6443,0.5695,0.782
01/29/21,1,1.0193,0.6443,0.5695,0.782
01/28/21,1,1.0225,0.6425,0.5693,0.7769
01/27/21,1,1.0188,0.6471,0.572,0.7839
01/26/21,1,1.0172,0.6475,0.5743,0.7863
01/25/21,1,1.0174,0.6469,0.5744,0.7861
01/24/21,1,1.0202,0.6469,0.576,0.7865
01/23/21,1,1.0202,0.6469,0.576,0.7865
01/22/21,1,1.0202,0.6469,0.576,0.7865
01/21/21,1,1.0189,0.6517,0.5775,0.7923
01/20/21,1,1.0187,0.6502,0.5759,0.7869
01/19/21,1,1.0185,0.6478,0.5771,0.7859
01/18/21,1,1.02,0.6488,0.5779,0.7827
01/17/21,1,1.0173,0.6488,0.5774,0.7865
01/16/21,1,1.0173,0.6488,0.5774,0.7865
01/15/21,1,1.0173,0.6488,0.5774,0.7865
01/14/21,1,1.017,0.6502,0.5783,0.7882
01/13/21,1,1.0159,0.6457,0.5746,0.7856
01/12/21,1,1.015,0.6447,0.5767,0.7841
01/11/21,1,1.0149,0.643,0.5803,0.7821
01/10/21,1,1.0138,0.6434,0.5799,0.7881
01/09/21,1,1.0138,0.6434,0.5799,0.7881
01/08/21,1,1.0138,0.6434,0.5799,0.7881
01/07/21,1,1.0151,0.641,0.5781,0.7869
01/06/21,1,1.0118,0.6394,0.5795,0.7889
01/05/21,1,1.0176,0.6389,0.5772,0.784
