Date,EUR,AUD,CAD,GBP,USD
02/20/21,1,1.5445,1.5307,0.8651,1.2139
02/19/21,1,1.5445,1.5307,0.8651,1.2139
02/18/21,1,1.5518,1.5307,0.8654,1.2084
02/17/21,1,1.5573,1.5304,0.8696,1.206
02/16/21,1,1.5613,1.5365,0.8733,1.2143
02/15/21,1,1.5602,1.5346,0.8723,1.2129
02/14/21,1,1.5666,1.5418,0.8775,1.2108
02/13/21,1,1.5666,1.5418,0.8775,1.2108
02/12/21,1,1.5666,1.5418,0.8775,1.2108
02/11/21,1,1.5638,1.5384,0.8776,1.2147
02/10/21,1,1.5682,1.5394,0.8765,1.2127
02/09/21,1,1.5681,1.5414,0.8783,1.2104
02/08/21,1,1.5693,1.5363,0.8783,1.2025
02/07/21,1,1.5761,1.5344,0.8754,1.1983
02/06/21,1,1.5761,1.5344,0.8754,1.1983
02/05/21,1,1.5761,1.5344,0.8754,1.1983
02/04/21,1,1.5727,1.5358,0.8769,1.1996
02/03/21,1,1.5781,1.5373,0.8815,1.2017
02/02/21,1,1.5847,1.5422,0.8808,1.2044
02/01/21,1,1.5831,1.5474,0.882,1.2084
01/31/21,1,1.5819,1.552,0.8838,1.2136
01/30/21,1,1.5819,1.552,0.8838,1.2136
01/29/21,1,1.5819,1.552,0.8838,1.2136
01/28/21,1,1.5914,1.5564,0.886,1.2091
01/27/21,1,1.5744,1.5453,0.884,1.2114
01/26/21,1,1.5709,1.5444,0.887,1.2143
01/25/21,1,1.5728,1.5459,0.888,1.2152
01/24/21,1,1.577,1.5458,0.8905,1.2158
01/23/21,1,1.577,1.5458,0.8905,1.2158
01/22/21,1,1.577,1.5458,0.8905,1.2158
01/21/21,1,1.5635,1.5345,0.8863,1.2158
01/20/21,1,1.5666,1.5379,0.8856,1.2101
01/19/21,1,1.5723,1.5438,0.891,1.2132
01/18/21,1,1.5721,1.5413,0.8907,1.2064
01/17/21,1,1.568,1.5413,0.89,1.2123
01/16/21,1,1.568,1.5413,0.89,1.2123
01/15/21,1,1.568,1.5413,0.89,1.2123
01/14/21,1,1.5642,1.5381,0.8894,1.2124
01/13/21,1,1.5734,1.5487,0.8898,1.2166
01/12/21,1,1.5742,1.551,0.8944,1.2161
01/11/21,1,1.5783,1.5551,0.9024,1.2163
01/10/21,1,1.5758,1.5543,0.9013,1.225
01/09/21,1,1.5758,1.5543,0.9013,1.225
01/08/21,1,1.5758,1.5543,0.9013,1.225
01/07/21,1,1.5836,1.5601,0.9019,1.2276
01/06/21,1,1.5824,1.564,0.9064,1.2338
01/05/21,1,1.5927,1.5651,0.9033,1.2271
01/04/21,1,1.5928,1.5621,0.9016,1.2296
01/03/21,1,1.5896,1.5633,0.899,1.2271
01/02/21,1,1.5896,1.5633,0.899,1.2271
01/01/21,1,1.5896,1.5633,0.899,1.2271
12/31/20,1,1.5896,1.5633,0.899,1.2271
12/30/20,1,1.6025,1.5701,0.9031,1.2281
12/29/20,1,1.6121,1.5713,0.9086,1.2259
12/28/20,1,1.6083,1.5677,0.9041,1.2219
12/27/20,1,1.6039,1.5656,0.898,1.2193
12/26/20,1,1.6039,1.5656,0.898,1.2193
12/25/20,1,1.6039,1.5656,0.898,1.2193
12/24/20,1,1.6039,1.5656,0.898,1.2193
12/23/20,1,1.6118,1.5671,0.907,1.2166
12/22/20,1,1.6191,1.5753,0.9115,1.2239
12/21/20,1,1.62,1.5686,0.9161,1.2173
12/20/20,1,1.6107,1.5638,0.9083,1.2259
12/19/20,1,1.6107,1.5638,0.9083,1.2259
12/18/20,1,1.6107,1.5638,0.9083,1.2259
12/17/20,1,1.6052,1.5546,0.9005,1.2246
12/16/20,1,1.6103,1.5551,0.8995,1.2189
12/15/20,1,1.6113,1.5473,0.908,1.214
12/14/20,1,1.6064,1.5476,0.907,1.2162
12/13/20,1,1.609,1.5487,0.9229,1.2127
12/12/20,1,1.609,1.5487,0.9229,1.2127
12/11/20,1,1.609,1.5487,0.9229,1.2127
12/10/20,1,1.6161,1.5456,0.911,1.2115
12/09/20,1,1.6185,1.5472,0.9,1.2109
12/08/20,1,1.6334,1.5508,0.9114,1.2114
12/07/20,1,1.6374,1.5537,0.9122,1.2128
12/06/20,1,1.6387,1.5633,0.9028,1.2159
12/05/20,1,1.6387,1.5633,0.9028,1.2159
12/04/20,1,1.6387,1.5633,0.9028,1.2159
12/03/20,1,1.6361,1.5692,0.9036,1.2151
12/02/20,1,1.6384,1.5619,0.9049,1.2066
12/01/20,1,1.6274,1.5522,0.898,1.1968
11/30/20,1,1.6246,1.5516,0.8985,1.198
11/29/20,1,1.6182,1.5497,0.8944,1.1922
11/28/20,1,1.6182,1.5497,0.8944,1.1922
11/27/20,1,1.6182,1.5497,0.8944,1.1922
11/26/20,1,1.6163,1.5472,0.8913,1.19
11/25/20,1,1.619,1.5478,0.8913,1.189
11/24/20,1,1.6175,1.5504,0.8901,1.1865
11/23/20,1,1.6233,1.553,0.8889,1.1901
11/22/20,1,1.6227,1.5484,0.8939,1.1863
11/21/20,1,1.6227,1.5484,0.8939,1.1863
11/20/20,1,1.6227,1.5484,0.8939,1.1863
11/19/20,1,1.6272,1.5501,0.8938,1.1832
11/18/20,1,1.6226,1.5514,0.8937,1.1868
11/17/20,1,1.6236,1.556,0.8959,1.1882
11/16/20,1,1.6226,1.5476,0.8982,1.183
11/15/20,1,1.63,1.5528,0.8968,1.1815
11/14/20,1,1.63,1.5528,0.8968,1.1815
11/13/20,1,1.63,1.5528,0.8968,1.1815
11/12/20,1,1.6263,1.5443,0.8977,1.1791
11/11/20,1,1.6172,1.5364,0.8894,1.1766
11/10/20,1,1.6237,1.5393,0.8918,1.1808
11/09/20,1,1.6234,1.5388,0.9022,1.1883
11/08/20,1,1.6359,1.5525,0.9043,1.187
