Date,GBP,AUD,CAD,EUR,USD
02/20/21,1,1.7854,1.7694,1.156,1.4032
02/19/21,1,1.7854,1.7694,1.156,1.4032
02/18/21,1,1.7932,1.7688,1.1555,1.3963
02/17/21,1,1.7908,1.7599,1.15,1.3868
02/16/21,1,1.7878,1.7594,1.145,1.3904
02/15/21,1,1.7887,1.7594,1.1465,1.3905
02/14/21,1,1.7852,1.757,1.1396,1.3798
02/13/21,1,1.7852,1.757,1.1396,1.3798
02/12/21,1,1.7852,1.757,1.1396,1.3798
02/11/21,1,1.782,1.7531,1.1395,1.3842
02/10/21,1,1.7892,1.7563,1.1409,1.3836
02/09/21,1,1.7854,1.755,1.1386,1.3781
02/08/21,1,1.7867,1.7491,1.1385,1.3691
02/07/21,1,1.8005,1.7528,1.1424,1.3689
02/06/21,1,1.8005,1.7528,1.1424,1.3689
02/05/21,1,1.8005,1.7528,1.1424,1.3689
02/04/21,1,1.7934,1.7513,1.1403,1.368
02/03/21,1,1.7903,1.7441,1.1345,1.3633
02/02/21,1,1.7993,1.751,1.1354,1.3675
02/01/21,1,1.7949,1.7544,1.1338,1.3701
01/31/21,1,1.7898,1.756,1.1314,1.3731
01/30/21,1,1.7898,1.756,1.1314,1.3731
01/29/21,1,1.7898,1.756,1.1314,1.3731
01/28/21,1,1.7961,1.7566,1.1286,1.3646
01/27/21,1,1.7811,1.7482,1.1313,1.3704
01/26/21,1,1.7711,1.7412,1.1274,1.369
01/25/21,1,1.7712,1.7409,1.1261,1.3685
01/24/21,1,1.771,1.736,1.123,1.3654
01/23/21,1,1.771,1.736,1.123,1.3654
01/22/21,1,1.771,1.736,1.123,1.3654
01/21/21,1,1.7642,1.7315,1.1283,1.3718
01/20/21,1,1.7689,1.7365,1.1291,1.3664
01/19/21,1,1.7646,1.7327,1.1223,1.3616
01/18/21,1,1.765,1.7304,1.1227,1.3544
01/17/21,1,1.7618,1.7318,1.1236,1.3622
01/16/21,1,1.7618,1.7318,1.1236,1.3622
01/15/21,1,1.7618,1.7318,1.1236,1.3622
01/14/21,1,1.7587,1.7293,1.1243,1.3631
01/13/21,1,1.7682,1.7404,1.1238,1.3672
01/12/21,1,1.7601,1.7341,1.1181,1.3597
01/11/21,1,1.7491,1.7234,1.1082,1.3479
01/10/21,1,1.7484,1.7245,1.1095,1.3592
01/09/21,1,1.7484,1.7245,1.1095,1.3592
01/08/21,1,1.7484,1.7245,1.1095,1.3592
01/07/21,1,1.7558,1.7298,1.1088,1.3611
01/06/21,1,1.7459,1.7256,1.1033,1.3613
01/05/21,1,1.7631,1.7326,1.107,1.3584
01/04/21,1,1.7666,1.7326,1.1091,1.3638
01/03/21,1,1.7681,1.7389,1.1123,1.3649
01/02/21,1,1.7681,1.7389,1.1123,1.3649
01/01/21,1,1.7681,1.7389,1.1123,1.3649
12/31/20,1,1.7681,1.7389,1.1123,1.3649
12/30/20,1,1.7745,1.7386,1.1073,1.3599
12/29/20,1,1.7742,1.7293,1.1006,1.3492
12/28/20,1,1.7789,1.734,1.1061,1.3515
12/27/20,1,1.7862,1.7435,1.1136,1.3579
12/26/20,1,1.7862,1.7435,1.1136,1.3579
12/25/20,1,1.7862,1.7435,1.1136,1.3579
12/24/20,1,1.7862,1.7435,1.1136,1.3579
12/23/20,1,1.7771,1.7278,1.1025,1.3413
12/22/20,1,1.7763,1.7283,1.0971,1.3428
12/21/20,1,1.7684,1.7123,1.0916,1.3288
12/20/20,1,1.7734,1.7217,1.101,1.3497
12/19/20,1,1.7734,1.7217,1.101,1.3497
12/18/20,1,1.7734,1.7217,1.101,1.3497
12/17/20,1,1.7826,1.7264,1.1105,1.3599
12/16/20,1,1.7902,1.7288,1.1117,1.3551
12/15/20,1,1.7747,1.7042,1.1014,1.3371
12/14/20,1,1.7711,1.7063,1.1025,1.3409
12/13/20,1,1.7433,1.678,1.0835,1.314
12/12/20,1,1.7433,1.678,1.0835,1.314
12/11/20,1,1.7433,1.678,1.0835,1.314
12/10/20,1,1.774,1.6966,1.0977,1.3299
12/09/20,1,1.7983,1.7191,1.1111,1.3454
12/08/20,1,1.7921,1.7015,1.0972,1.3291
12/07/20,1,1.7951,1.7033,1.0963,1.3296
12/06/20,1,1.8151,1.7316,1.1076,1.3468
12/05/20,1,1.8151,1.7316,1.1076,1.3468
12/04/20,1,1.8151,1.7316,1.1076,1.3468
12/03/20,1,1.8107,1.7366,1.1067,1.3448
12/02/20,1,1.8106,1.726,1.1051,1.3334
12/01/20,1,1.8123,1.7285,1.1136,1.3328
11/30/20,1,1.8082,1.727,1.113,1.3334
11/29/20,1,1.8092,1.7326,1.118,1.3329
11/28/20,1,1.8092,1.7326,1.118,1.3329
11/27/20,1,1.8092,1.7326,1.118,1.3329
11/26/20,1,1.8134,1.7359,1.122,1.3351
11/25/20,1,1.8165,1.7366,1.122,1.334
11/24/20,1,1.8172,1.7418,1.1234,1.333
11/23/20,1,1.8262,1.7471,1.125,1.3389
11/22/20,1,1.8152,1.7321,1.1187,1.3271
11/21/20,1,1.8152,1.7321,1.1187,1.3271
11/20/20,1,1.8152,1.7321,1.1187,1.3271
11/19/20,1,1.8206,1.7343,1.1188,1.3238
11/18/20,1,1.8155,1.7359,1.1189,1.3279
11/17/20,1,1.8124,1.7369,1.1163,1.3263
11/16/20,1,1.8065,1.723,1.1134,1.3171
11/15/20,1,1.8175,1.7314,1.115,1.3174
11/14/20,1,1.8175,1.7314,1.115,1.3174
11/13/20,1,1.8175,1.7314,1.115,1.3174
11/12/20,1,1.8117,1.7204,1.114,1.3135
11/11/20,1,1.8184,1.7276,1.1244,1.323
11/10/20,1,1.8206,1.726,1.1213,1.324
11/09/20,1,1.7993,1.7055,1.1084,1.3171
11/08/20,1,1.809,1.7168,1.1058,1.3126
11/07/20,1,1.809,1.7168,1.1058,1.3126
11/06/20,1,1.809,1.7168,1.1058,1.3126
11/05/20,1,1.8083,1.7112,1.1056,1.3107
11/04/20,1,1.8172,1.7132,1.1117,1.303
11/03/20,1,1.822,1.7086,1.1106,1.2996
11/02/20,1,1.8359,1.7174,1.1105,1.2939
