Date,USD,AUD,CAD,EUR,GBP
02/20/21,1,1.2723,1.261,0.8238,0.7126
02/19/21,1,1.2723,1.261,0.8238,0.7126
02/18/21,1,1.2842,1.2667,0.8275,0.7162
02/17/21,1,1.2913,1.269,0.8292,0.7211
02/16/21,1,1.2858,1.2653,0.8235,0.7192
02/15/21,1,1.2863,1.2652,0.8245,0.7191
02/14/21,1,1.2939,1.2734,0.8259,0.7248
02/13/21,1,1.2939,1.2734,0.8259,0.7248
02/12/21,1,1.2939,1.2734,0.8259,0.7248
02/11/21,1,1.2874,1.2665,0.8232,0.7224
02/10/21,1,1.2931,1.2694,0.8246,0.7228
02/09/21,1,1.2955,1.2735,0.8262,0.7256
02/08/21,1,1.305,1.2776,0.8316,0.7304
02/07/21,1,1.3153,1.2805,0.8345,0.7305
02/06/21,1,1.3153,1.2805,0.8345,0.7305
02/05/21,1,1.3153,1.2805,0.8345,0.7305
02/04/21,1,1.311,1.2803,0.8336,0.731
02/03/21,1,1.3132,1.2793,0.8322,0.7335
02/02/21,1,1.3158,1.2805,0.8303,0.7313
02/01/21,1,1.3101,1.2805,0.8275,0.7299
01/31/21,1,1.3035,1.2788,0.824,0.7283
01/30/21,1,1.3035,1.2788,0.824,0.7283
01/29/21,1,1.3035,1.2788,0.824,0.7283
01/28/21,1,1.3162,1.2872,0.8271,0.7328
01/27/21,1,1.2997,1.2756,0.8255,0.7297
01/26/21,1,1.2937,1.2718,0.8235,0.7304
01/25/21,1,1.2943,1.2721,0.8229,0.7307
01/24/21,1,1.2971,1.2714,0.8225,0.7324
01/23/21,1,1.2971,1.2714,0.8225,0.7324
01/22/21,1,1.2971,1.2714,0.8225,0.7324
01/21/21,1,1.286,1.2621,0.8225,0.7289
01/20/21,1,1.2946,1.2709,0.8264,0.7319
01/19/21,1,1.296,1.2725,0.8243,0.7344
01/18/21,1,1.3031,1.2776,0.8289,0.7383
01/17/21,1,1.2934,1.2714,0.8249,0.7341
01/16/21,1,1.2934,1.2714,0.8249,0.7341
01/15/21,1,1.2934,1.2714,0.8249,0.7341
01/14/21,1,1.2902,1.2686,0.8248,0.7336
01/13/21,1,1.2933,1.273,0.822,0.7314
01/12/21,1,1.2945,1.2754,0.8223,0.7355
01/11/21,1,1.2976,1.2785,0.8222,0.7419
01/10/21,1,1.2864,1.2688,0.8163,0.7357
01/09/21,1,1.2864,1.2688,0.8163,0.7357
01/08/21,1,1.2864,1.2688,0.8163,0.7357
01/07/21,1,1.29,1.2709,0.8146,0.7347
01/06/21,1,1.2825,1.2676,0.8105,0.7346
01/05/21,1,1.2979,1.2754,0.8149,0.7362
01/04/21,1,1.2954,1.2704,0.8133,0.7332
01/03/21,1,1.2954,1.274,0.8149,0.7326
01/02/21,1,1.2954,1.274,0.8149,0.7326
01/01/21,1,1.2954,1.274,0.8149,0.7326
12/31/20,1,1.2954,1.274,0.8149,0.7326
12/30/20,1,1.3049,1.2785,0.8143,0.7353
12/29/20,1,1.315,1.2818,0.8157,0.7412
12/28/20,1,1.3162,1.283,0.8184,0.7399
12/27/20,1,1.3154,1.284,0.8201,0.7364
12/26/20,1,1.3154,1.284,0.8201,0.7364
12/25/20,1,1.3154,1.284,0.8201,0.7364
12/24/20,1,1.3154,1.284,0.8201,0.7364
12/23/20,1,1.3248,1.2881,0.822,0.7455
12/22/20,1,1.3229,1.2871,0.8171,0.7447
12/21/20,1,1.3308,1.2886,0.8215,0.7526
12/20/20,1,1.3139,1.2756,0.8157,0.7409
12/19/20,1,1.3139,1.2756,0.8157,0.7409
12/18/20,1,1.3139,1.2756,0.8157,0.7409
12/17/20,1,1.3108,1.2695,0.8166,0.7353
12/16/20,1,1.3211,1.2758,0.8204,0.738
12/15/20,1,1.3273,1.2745,0.8237,0.7479
12/14/20,1,1.3208,1.2725,0.8222,0.7458
12/13/20,1,1.3268,1.2771,0.8246,0.7611
12/12/20,1,1.3268,1.2771,0.8246,0.7611
12/11/20,1,1.3268,1.2771,0.8246,0.7611
12/10/20,1,1.334,1.2758,0.8254,0.752
12/09/20,1,1.3366,1.2777,0.8258,0.7432
12/08/20,1,1.3484,1.2802,0.8255,0.7524
12/07/20,1,1.3501,1.2811,0.8245,0.7521
12/06/20,1,1.3477,1.2857,0.8224,0.7425
12/05/20,1,1.3477,1.2857,0.8224,0.7425
12/04/20,1,1.3477,1.2857,0.8224,0.7425
12/03/20,1,1.3465,1.2914,0.823,0.7436
12/02/20,1,1.3579,1.2945,0.8288,0.75
12/01/20,1,1.3598,1.297,0.8356,0.7503
11/30/20,1,1.3561,1.2952,0.8347,0.75
