ProductKey,Product Code,Product Name,Manufacturer,Brand,Color,Weight Unit Measure,Weight,Unit Cost,Unit Price,Subcategory Code,Subcategory,Category Code,Category
1,0101001,Contoso 512MB MP3 Player E51 Silver,"Contoso, Ltd",Contoso,Silver,ounces,4.8,6.62,12.99,0101,MP4&MP3,01,Audio
2,0101002,Contoso 512MB MP3 Player E51 Blue,"Contoso, Ltd",Contoso,Blue,ounces,4.1,6.62,12.99,0101,MP4&MP3,01,Audio
3,0101003,Contoso 1G MP3 Player E100 White,"Contoso, Ltd",Contoso,White,ounces,4.5,7.4,14.52,0101,MP4&MP3,01,Audio
4,0101004,Contoso 2G MP3 Player E200 Silver,"Contoso, Ltd",Contoso,Silver,ounces,4.5,11,21.57,0101,MP4&MP3,01,Audio
5,0101005,Contoso 2G MP3 Player E200 Red,"Contoso, Ltd",Contoso,Red,ounces,2.4,11,21.57,0101,MP4&MP3,01,Audio
6,0101006,Contoso 2G MP3 Player E200 Black,"Contoso, Ltd",Contoso,Black,ounces,8.8,11,21.57,0101,MP4&MP3,01,Audio
7,0101007,Contoso 2G MP3 Player E200 Blue,"Contoso, Ltd",Contoso,Blue,ounces,2.1,11,21.57,0101,MP4&MP3,01,Audio
8,0101008,Contoso 4G MP3 Player E400 Silver,"Contoso, Ltd",Contoso,Silver,ounces,5.6,30.58,59.99,0101,MP4&MP3,01,Audio
9,0101009,Contoso 4G MP3 Player E400 Black,"Contoso, Ltd",Contoso,Black,ounces,2.1,30.58,59.99,0101,MP4&MP3,01,Audio
10,0101010,Contoso 4G MP3 Player E400 Green,"Contoso, Ltd",Contoso,Green,ounces,11,30.58,59.99,0101,MP4&MP3,01,Audio
11,0101011,Contoso 4G MP3 Player E400 Orange,"Contoso, Ltd",Contoso,Orange,ounces,14.1,30.58,59.99,0101,MP4&MP3,01,Audio
12,0101012,Contoso 4GB Flash MP3 Player E401 Blue,"Contoso, Ltd",Contoso,Blue,ounces,7.4,35.72,77.68,0101,MP4&MP3,01,Audio
13,0101013,Contoso 4GB Flash MP3 Player E401 Black,"Contoso, Ltd",Contoso,Black,ounces,2.6,35.72,77.68,0101,MP4&MP3,01,Audio
14,0101014,Contoso 4GB Flash MP3 Player E401 Silver,"Contoso, Ltd",Contoso,Silver,ounces,8,35.72,77.68,0101,MP4&MP3,01,Audio
15,0101015,Contoso 4GB Flash MP3 Player E401 White,"Contoso, Ltd",Contoso,White,ounces,2.1,35.72,77.68,0101,MP4&MP3,01,Audio
16,0101016,Contoso 8GB Super-Slim MP3/Video Player M800 White,"Contoso, Ltd",Contoso,White,ounces,11,50.56,109.95,0101,MP4&MP3,01,Audio
17,0101017,Contoso 8GB Super-Slim MP3/Video Player M800 Red,"Contoso, Ltd",Contoso,Red,ounces,11,50.56,109.95,0101,MP4&MP3,01,Audio
18,0101018,Contoso 8GB Super-Slim MP3/Video Player M800 Green,"Contoso, Ltd",Contoso,Green,ounces,2.1,50.56,109.95,0101,MP4&MP3,01,Audio
19,0101019,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,"Contoso, Ltd",Contoso,Pink,ounces,5.9,50.56,109.95,0101,MP4&MP3,01,Audio
20,0101020,Contoso 8GB MP3 Player new model M820 Black,"Contoso, Ltd",Contoso,Black,pounds,1,61.62,134,0101,MP4&MP3,01,Audio
21,0101021,Contoso 8GB MP3 Player new model M820 Blue,"Contoso, Ltd",Contoso,Blue,ounces,10.6,61.62,134,0101,MP4&MP3,01,Audio
22,0101022,Contoso 8GB MP3 Player new model M820 Yellow,"Contoso, Ltd",Contoso,Yellow,ounces,1,61.62,134,0101,MP4&MP3,01,Audio
23,0101023,Contoso 8GB MP3 Player new model M820 White,"Contoso, Ltd",Contoso,White,ounces,2.6,61.62,134,0101,MP4&MP3,01,Audio
24,0101024,Contoso 16GB Mp5 Player M1600 Blue,"Contoso, Ltd",Contoso,Blue,ounces,11,91.93,199.9,0101,MP4&MP3,01,Audio
25,0101025,Contoso 16GB Mp5 Player M1600 Black,"Contoso, Ltd",Contoso,Black,ounces,5.9,91.93,199.9,0101,MP4&MP3,01,Audio
26,0101026,Contoso 16GB Mp5 Player M1600 Green,"Contoso, Ltd",Contoso,Green,ounces,14.1,91.93,199.9,0101,MP4&MP3,01,Audio
27,0101027,Contoso 16GB Mp5 Player M1600 White,"Contoso, Ltd",Contoso,White,ounces,8,91.93,199.9,0101,MP4&MP3,01,Audio
28,0101028,Contoso 16GB Mp5 Player M1600 Red,"Contoso, Ltd",Contoso,Red,ounces,2,91.93,199.9,0101,MP4&MP3,01,Audio
29,0101029,Contoso 32GB Video MP3 Player M3200 White,"Contoso, Ltd",Contoso,White,pounds,1.2,84.49,255,0101,MP4&MP3,01,Audio
30,0101030,Contoso 32GB Video MP3 Player M3200 Red,"Contoso, Ltd",Contoso,Red,ounces,2.1,84.49,255,0101,MP4&MP3,01,Audio
